customer_id,name,email,city,signup_date
1,Customer_1,user1@example.com,Mumbai,2023-09-22
2,Customer_2,user2@example.com,Bangalore,2023-03-11
3,Customer_3,user3@example.com,Delhi,2023-01-30
4,Customer_4,user4@example.com,Delhi,2020-05-11
5,Customer_5,user5@example.com,Delhi,2020-04-10
6,Customer_6,user6@example.com,Delhi,2020-03-11
7,Customer_7,user7@example.com,Delhi,2022-02-21
8,Customer_8,user8@example.com,Delhi,2021-06-25
9,Customer_9,user9@example.com,Bangalore,2020-05-16
10,Customer_10,user10@example.com,Kolkata,2023-09-12
11,Customer_11,user11@example.com,Kolkata,2023-12-23
12,Customer_12,user12@example.com,Hyderabad,2021-08-21
13,Customer_13,user13@example.com,Chennai,2021-07-30
14,Customer_14,user14@example.com,Chennai,2022-09-10
15,Customer_15,user15@example.com,Delhi,2020-06-21
16,Customer_16,user16@example.com,Hyderabad,2022-04-20
17,Customer_17,user17@example.com,Kolkata,2022-10-08
18,Customer_18,user18@example.com,Hyderabad,2020-10-11
19,Customer_19,user19@example.com,Hyderabad,2022-11-23
20,Customer_20,user20@example.com,Bangalore,2020-05-05
21,Customer_21,user21@example.com,Delhi,2021-08-16
22,Customer_22,user22@example.com,Delhi,2022-12-28
23,Customer_23,user23@example.com,Chennai,2020-05-25
24,Customer_24,user24@example.com,Mumbai,2023-07-22
25,Customer_25,user25@example.com,Kolkata,2023-07-25
26,Customer_26,user26@example.com,Chennai,2022-09-21
27,Customer_27,user27@example.com,Kolkata,2020-04-22
28,Customer_28,user28@example.com,Bangalore,2023-08-17
29,Customer_29,user29@example.com,Kolkata,2023-01-08
30,Customer_30,user30@example.com,Kolkata,2023-09-20
31,Customer_31,user31@example.com,Delhi,2022-09-05
32,Customer_32,user32@example.com,Bangalore,2021-02-18
33,Customer_33,user33@example.com,Delhi,2023-10-06
34,Customer_34,user34@example.com,Hyderabad,2021-02-23
35,Customer_35,user35@example.com,Hyderabad,2020-02-05
36,Customer_36,user36@example.com,Chennai,2021-05-13
37,Customer_37,user37@example.com,Mumbai,2020-04-04
38,Customer_38,user38@example.com,Hyderabad,2023-09-05
39,Customer_39,user39@example.com,Kolkata,2021-11-29
40,Customer_40,user40@example.com,Mumbai,2020-10-13
41,Customer_41,user41@example.com,Bangalore,2023-05-22
42,Customer_42,user42@example.com,Chennai,2023-01-19
43,Customer_43,user43@example.com,Mumbai,2020-03-30
44,Customer_44,user44@example.com,Mumbai,2021-02-01
45,Customer_45,user45@example.com,Chennai,2022-01-26
46,Customer_46,user46@example.com,Kolkata,2023-01-28
47,Customer_47,user47@example.com,Delhi,2021-01-10
48,Customer_48,user48@example.com,Chennai,2023-09-26
49,Customer_49,user49@example.com,Bangalore,2020-10-30
50,Customer_50,user50@example.com,Kolkata,2023-09-20
51,Customer_51,user51@example.com,Hyderabad,2020-12-09
52,Customer_52,user52@example.com,Chennai,2023-12-18
53,Customer_53,user53@example.com,Chennai,2021-05-11
54,Customer_54,user54@example.com,Hyderabad,2023-03-04
55,Customer_55,user55@example.com,Delhi,2021-06-11
56,Customer_56,user56@example.com,Bangalore,2023-01-09
57,Customer_57,user57@example.com,Delhi,2020-08-03
58,Customer_58,user58@example.com,Hyderabad,2023-06-19
59,Customer_59,user59@example.com,Mumbai,2020-06-13
60,Customer_60,user60@example.com,Hyderabad,2022-08-15
61,Customer_61,user61@example.com,Kolkata,2020-08-01
62,Customer_62,user62@example.com,Bangalore,2022-06-30
63,Customer_63,user63@example.com,Chennai,2020-07-31
64,Customer_64,user64@example.com,Bangalore,2022-08-08
65,Customer_65,user65@example.com,Hyderabad,2021-01-21
66,Customer_66,user66@example.com,Kolkata,2022-09-11
67,Customer_67,user67@example.com,Mumbai,2023-08-11
68,Customer_68,user68@example.com,Chennai,2021-03-24
69,Customer_69,user69@example.com,Chennai,2022-01-03
70,Customer_70,user70@example.com,Hyderabad,2020-12-27
71,Customer_71,user71@example.com,Delhi,2022-07-15
72,Customer_72,user72@example.com,Kolkata,2020-12-18
73,Customer_73,user73@example.com,Bangalore,2023-04-25
74,Customer_74,user74@example.com,Mumbai,2023-04-23
75,Customer_75,user75@example.com,Chennai,2021-08-03
76,Customer_76,user76@example.com,Kolkata,2023-03-02
77,Customer_77,user77@example.com,Mumbai,2023-02-11
78,Customer_78,user78@example.com,Hyderabad,2021-06-17
79,Customer_79,user79@example.com,Hyderabad,2021-04-11
80,Customer_80,user80@example.com,Kolkata,2022-09-02
81,Customer_81,user81@example.com,Kolkata,2022-05-19
82,Customer_82,user82@example.com,Kolkata,2022-06-23
83,Customer_83,user83@example.com,Hyderabad,2021-01-22
84,Customer_84,user84@example.com,Chennai,2023-01-02
85,Customer_85,user85@example.com,Bangalore,2022-11-02
86,Customer_86,user86@example.com,Kolkata,2020-10-02
